timestamp;id;rating;18_group;is_mi;fall_1;fall_2;fall_3;spring_1;spring_2;spring_3;is_first_time;percentile;17_group;blended;is_ml_student
2020-05-15 01:12:51;93ff79a51cd602f1dd3028ba2c129503;698;181;;Язык SQL;Высокопроизводительные вычисления;Матричные вычисления;Дискретная оптимизация;Численные методы;Машинное обучение 2;Да;0,183856502;;;
2020-05-15 02:46:48;26b01b1c4cd5656bab18d24c548834fb;647;181;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Язык SQL;Дискретная оптимизация;Численные методы;Машинное обучение 2;Нет;0,426008969;;;
2020-05-15 03:12:41;30f3653fc176d54e89ac3179c455c6dd;624;185;;Безопасность компьютерных систем;Матричные вычисления;Моделирование временных рядов;Дискретная оптимизация;Машинное обучение 2;Численные методы;Да;0,538116592;;;
2020-05-15 04:43:09;1528f0eaa027580820ccf0d92a53ad68;579;182;;Statistical Learning Theory;Высокопроизводительные вычисления;Матричные вычисления;Дискретная оптимизация;Численные методы;Машинное обучение 2;Да;0,744394619;;;
2020-05-15 07:47:17;496ea4f0d4abe264b1bb1b80eb3830c5;572;183;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Теория баз данных;Компьютерные сети;Дискретная оптимизация;Численные методы;Да;0,780269058;;;
2020-05-15 09:10:19;d0d8ff53ed5b119f9056068e954256c6;591;187;;Язык SQL;Statistical Learning Theory;Сбор и обработка данных с помощью краудсорсинга;Промышленное программирование на языке Java;Численные методы;Дискретная оптимизация;Да;0,69058296;;;
2020-05-15 11:42:17;e4caca755ee0bdd711e18fb8084958b5;724;181;;Statistical Learning Theory;Безопасность компьютерных систем;Моделирование временных рядов;Численные методы;Промышленное программирование на языке Java;Машинное обучение 2;Да;0,103139013;;;
2020-05-15 12:11:43;8047c18b3c531c6f47931e0744f3e028;566;187;;Язык SQL;Теория баз данных;Безопасность компьютерных систем;Промышленное программирование на языке Java;Компьютерные сети;Дискретная оптимизация;Да;0,802690583;;;
2020-05-15 13:21:41;e8b314842f176be9051d14a07cb156cb;618;181;;Язык SQL;Теория баз данных;Матричные вычисления;Промышленное программирование на языке Java;Компьютерные сети;Дискретная оптимизация;Да;0,565022422;;;
2020-05-15 13:29:11;d6c079f1ff869c8c84fa3ed30bd67e0e;733;181;;Теория баз данных;Высокопроизводительные вычисления;Сбор и обработка данных с помощью краудсорсинга;Дополнительные главы прикладной статистики;Анализ данных в бизнесе;Численные методы;Да;0,085201794;;;TRUE
2020-05-15 13:46:32;57c331c5a1b473501d86dfd23421bb5c;623;186;;Принятие решений в условиях риска и неопределённости;Моделирование временных рядов;Матричные вычисления;Анализ данных в бизнесе;Численные методы;Машинное обучение 2;Да;0,542600897;;;
2020-05-15 14:52:24;3de75278c0cdb78bbe54267f65c67d25;563;187;;Язык SQL;Теория баз данных;Сбор и обработка данных с помощью краудсорсинга;Промышленное программирование на языке Java;Системы баз данных;Анализ данных в бизнесе;Да;0,811659193;;;
2020-05-15 16:13:05;77c7b37ee521df16ccff23ba50c893d4;735;183;;Высокопроизводительные вычисления;Язык SQL;Безопасность компьютерных систем;Компьютерные сети;Промышленное программирование на языке Java;Машинное обучение 2;Да;0,076233184;;;
2020-05-15 16:19:15;23484c24b8d551a189015750171974cd;734;183;;Высокопроизводительные вычисления;Безопасность компьютерных систем;Теория баз данных;Компьютерные сети;Дискретная оптимизация;Машинное обучение 2;Да;0,080717489;;;
2020-05-15 16:46:01;105209181e880d891f19de83b4b1478d;706;183;;Безопасность компьютерных систем;Моделирование временных рядов;Принятие решений в условиях риска и неопределённости;Анализ данных в бизнесе;Дискретная оптимизация;Системы баз данных;Да;0,152466368;;;TRUE
2020-05-15 16:53:28;80a0660d40d5e2f3e3b9bb8a4383db74;662;183;;Statistical Learning Theory;Матричные вычисления;Моделирование временных рядов;Анализ данных в бизнесе;Дискретная оптимизация;Системы баз данных;Да;0,35426009;;;TRUE
2020-05-15 16:58:07;64173586abab6f7a172946c8c74bde0d;630;181;;Безопасность компьютерных систем;Высокопроизводительные вычисления;Язык SQL;Компьютерные сети;Промышленное программирование на языке Java;Дискретная оптимизация;Да;0,502242152;;;
2020-05-15 17:33:09;4b019ecb89626c8752a1d962b63c8a4b;669;185;;Язык SQL;Высокопроизводительные вычисления;Безопасность компьютерных систем;Компьютерные сети;Промышленное программирование на языке Java;Системы баз данных;Да;0,31838565;;;
